서울농학교,한국우진학교,서울맹학교,광성하늘빛학교,누리학교,교남학교,다니엘학교,밀알학교,서울새롬학교,서울광진학교,서울동천학교,서울삼성학교,서울애화학교,서울정문학교,서울정민학교,서울정인학교,서울정진학교,성베드로학교,수도사랑의학교,연세대학교재활학교,서울정애학교,주몽학교,한국구화학교,한국육영학교,한빛맹학교,은평대영학교,서울경운학교,서울다원학교,서울효정학교,서울나래학교,서울서진학교,서울도솔학교,금천구중심,양천구중심,영등포구중심,용산구중심,중구중심,성동구중심,동대문구중심,중랑구중심
0.0,5957.797343591101,131.8266410992823,14578.471388487598,10215.428414293956,11103.25666030175,17698.209510638033,14937.08579051336,10896.52367125746,12084.91682745719,11280.26856288503,9791.366525729907,6903.3491890477635,14497.734780846715,10660.171796511744,6309.338728479711,16248.187062145349,16657.34641991021,1245.5612505350746,3090.538729896995,10950.151443799234,17741.204959043967,17078.747969090888,18498.88654923716,6258.184038005531,5942.287682273656,2022.942829949194,2196.9837718504687,6225.157755673174,15351.7260653829,10674.508141031212,13754.931573546199,15652.41801229734,11812.150351534292,9209.254605009311,6207.38411982808,3518.0477641333296,6509.118730928352,6405.192817690431,11189.777918175778
5957.797343591101,0.0,5845.890369821865,19657.49638721109,8147.136029442038,5225.235276030693,20719.622061660884,18382.13441832074,8898.415957860207,16997.581296004046,17007.16606921908,8834.83803780374,12584.13782118181,12198.34566732576,16495.57168088676,11627.268422874846,10878.418475878976,11542.737757248107,5438.354849805768,3584.7349966640236,14723.240396808897,23097.59337405987,22589.57923367829,22519.444972105546,11717.33492373105,3834.3472369481706,7396.13980269717,8134.519967519532,11710.104747400566,17654.510645476144,4743.351701855149,18392.76414773125,12677.719030061628,6844.676528275849,5055.543632811355,8776.56621414851,8355.454377657818,11791.82271660991,12024.396316634506,17139.630645838417
131.8266410992823,5845.890369821865,0.0,14626.747890243774,10092.719145378695,10984.080918868001,17677.822588631436,14925.906399746982,10775.407018447539,12123.337274524187,11409.331482662876,9678.893632383097,7034.015472391336,14377.705413641705,10786.267826371717,6440.544911865616,16118.764202421053,16526.3644485676,1131.1034878062028,2958.846666255321,10942.863921648232,17804.5343116005,17150.05203922295,18509.427608577487,6389.977828210409,5896.686842999065,2043.7957007982625,2319.3544094780104,6356.980107715835,15309.802224904744,10567.031932498403,13882.56922844347,15527.441506877547,11681.365220477903,9077.461095809116,6144.055128598775,3520.4945071284164,6556.461833157123,6475.105154368544,11297.709272681148
14578.471388487598,19657.49638721109,14626.747890243774,0.0,17792.944779456127,23880.190490269957,8969.144432250101,6738.433921996498,17912.652596486107,2711.1916980428964,12662.781146573985,16088.638357141153,12761.186531128966,20001.032287859784,11555.572963621757,14240.759304661873,26993.929883843706,26754.45818089908,14480.360729578895,16075.153958217526,6519.44571438868,3765.2232034426665,3991.750437156538,6208.831171912088,13763.782659678378,20520.652980617393,12624.898313635598,13156.677264521726,13671.369448601383,10266.915687291905,24202.758490127566,18841.63088553706,21898.80336019321,22713.64163707513,20004.25692591994,11658.062593344099,11371.365807109782,8070.320136473457,8354.951486037198,8108.932444945005
10215.428414293956,8147.136029442038,10092.719145378695,17792.944779456127,0.0,8447.965848495238,15315.757640393871,13845.780401638125,759.003020621636,15178.012686672406,20606.35358270839,1783.9259113162245,16595.01499203463,4329.995272899877,19717.502399098197,16378.97990840486,9353.71030684677,8981.885907015992,8980.151034313198,7493.193057420798,11418.311752961145,21556.889888928377,21544.647263158164,18346.49760812013,16237.744398991785,11859.506533218659,9920.850707658929,11899.540839480707,16185.757243882092,11751.79825522576,9892.318008051172,23929.723209368432,5472.58349486259,5632.531078114413,3927.829271160785,6705.5439581288165,9519.064681699347,12036.806392215003,12985.569367271808,18858.34043336048
11103.25666030175,5225.235276030693,10984.080918868001,23880.190490269957,8447.965848495238,0.0,23349.319954027516,21449.63130065318,8998.910941324017,21171.299865892317,22232.03745652884,9941.051272584813,17808.929516657976,11148.200703165756,21709.079549813083,16836.363448265594,6129.200242049779,7097.079153260009,10408.109513845699,8335.84747269997,18245.267620845167,27486.107542085414,27122.094698603392,25846.641092308397,16937.20474733008,7979.812048945997,12306.937783059986,13298.209146968875,16931.460896115157,19921.439773391452,1948.9124913506273,23397.70022235294,10803.591092894567,3651.3302242708387,4593.651181309782,12328.553086166285,12994.690573373424,16402.51932096746,16827.905062251473,22206.944750905754
17698.209510638033,20719.622061660884,17677.822588631436,8969.144432250101,15315.757640393871,23349.319954027516,0.0,2984.245474964274,15042.895000354738,8602.16036837387,20532.12276398868,13591.314299472831,19156.47758588558,15515.973638602996,19356.314446550066,20243.62435878147,24400.06229622851,23738.154403243254,16972.154791769066,17614.02704327997,6883.4679787736295,11430.425735395589,12381.8014110358,4325.165816570529,19808.56349591245,23039.074297016683,15767.58375785626,17323.06599919532,19713.684449054075,3636.739430599239,24356.33140308759,26415.90601670911,17369.322872991383,20942.663142574722,18804.705158523233,12061.1993835902,14235.290536443163,12461.592101371194,13498.357392489937,16248.612161716388
14937.08579051336,18382.13441832074,14925.906399746982,6738.433921996498,13845.780401638125,21449.63130065318,2984.245474964274,0.0,13705.889474468451,5819.446516084853,17635.753673922336,12066.180869115913,16172.51914350477,14848.217592147466,16457.744218221727,17263.683420837795,23154.932616988157,22633.662424314494,14290.819477844845,15116.432345275833,4002.9631204958355,9829.98729383907,10534.37448750152,4501.653747229159,16827.103364714305,20446.207792169207,12968.430051955896,14435.162205800085,16732.133693916974,3625.529742283501,22289.19992812182,23465.202316125742,16762.271328690833,19371.805591137807,17014.57253135622,9613.054400900855,11437.29227534781,9494.923411966334,10517.428960185112,13438.336839162614
10896.52367125746,8898.415957860207,10775.407018447539,17912.652596486107,759.003020621636,8998.910941324017,15042.895000354738,13705.889474468451,0.0,15332.775765976483,21154.26449685727,1833.2676148621388,17193.605662551505,3610.795337641714,20245.43640788176,17019.946619101916,9449.217780624223,8972.437437298897,9656.498383541613,8220.169108351005,11474.846573891997,21677.600424795808,21713.349383093184,18205.948610471587,16867.37256808252,12617.559586719453,10525.298459457745,12532.797683227987,16813.331281848536,11445.651553279744,10508.472550147373,24583.52924820704,4872.154807709561,5997.363036126796,4556.58857904677,7080.857618850059,10049.728939802824,12435.425080634179,13423.146554584842,19284.615800391188
12084.91682745719,16997.581296004046,12123.337274524187,2711.1916980428964,15178.012686672406,21171.299865892317,8602.16036837387,5819.446516084853,15332.775765976483,0.0,11972.258190131786,13501.610389471416,11179.046665193566,17591.456859338792,10803.150224442172,12517.377060857063,24325.900478660402,24114.979799884728,11898.098712206043,13421.50193259313,4183.476925038438,6416.902941237962,6384.06909732649,7165.2541945214325,12048.278148263662,18016.558179387608,10094.431275808081,10833.996456130375,11952.986546603312,8908.067002522288,21513.063415053977,17974.7425335619,19467.1350292609,20021.016480196908,17301.662514050935,8952.834099873211,8772.611037740297,5607.717633469858,6119.914909792876,7647.363454638711
