교육지원청,"정보공시 학교코드",학교명,지역,학급수(계),학생수(계),"특수학급 학급수","특수학급 학생수",학교급코드,학교구분,공시연도
서울특별시성북강북교육지원청,S010002325,서울화계초등학교,강북구,31,628,2,11,2,초,2023
서울특별시중부교육지원청,S010002370,서울교동초등학교,종로구,12,161,1,2,2,초,2023
서울특별시중부교육지원청,S010002371,서울금양초등학교,용산구,34,627,1,3,2,초,2023
서울특별시중부교육지원청,S010002372,서울남산초등학교,중구,14,229,2,6,2,초,2023
서울특별시중부교육지원청,S010002373,서울남정초등학교,용산구,18,300,1,6,2,초,2023
서울특별시중부교육지원청,S010002375,서울덕수초등학교,중구,22,456,1,3,2,초,2023
서울특별시중부교육지원청,S010002376,서울독립문초등학교,종로구,24,476,1,6,2,초,2023
서울특별시중부교육지원청,S010002377,서울매동초등학교,종로구,13,174,1,5,2,초,2023
서울특별시중부교육지원청,S010002378,서울명신초등학교,종로구,18,284,2,5,2,초,2023
서울특별시중부교육지원청,S010002379,서울보광초등학교,용산구,20,235,2,8,2,초,2023
서울특별시중부교육지원청,S010002380,서울봉래초등학교,중구,23,422,2,10,2,초,2023
서울특별시중부교육지원청,S010002381,서울삼광초등학교,용산구,21,383,1,6,2,초,2023
서울특별시중부교육지원청,S010002382,서울서빙고초등학교,용산구,21,375,2,10,2,초,2023
서울특별시중부교육지원청,S010002383,서울세검정초등학교,종로구,37,779,1,5,2,초,2023
서울특별시성동광진교육지원청,S010002384,서울숭신초등학교,성동구,39,864,2,9,2,초,2023
서울특별시중부교육지원청,S010002385,서울신용산초등학교,용산구,62,1428,2,8,2,초,2023
서울특별시중부교육지원청,S010002386,서울용산초등학교,용산구,19,362,1,1,2,초,2023
서울특별시중부교육지원청,S010002387,서울용암초등학교,용산구,11,125,1,2,2,초,2023
서울특별시중부교육지원청,S010002388,서울원효초등학교,용산구,27,515,1,6,2,초,2023
서울특별시중부교육지원청,S010002389,서울이태원초등학교,용산구,17,239,2,7,2,초,2023
서울특별시중부교육지원청,S010002390,서울장충초등학교,중구,21,352,2,6,2,초,2023
서울특별시중부교육지원청,S010002392,서울창신초등학교,종로구,23,348,1,7,2,초,2023
서울특별시중부교육지원청,S010002393,서울청구초등학교,중구,30,544,2,5,2,초,2023
서울특별시중부교육지원청,S010002394,서울청운초등학교,종로구,24,438,2,5,2,초,2023
서울특별시중부교육지원청,S010002395,서울청파초등학교,용산구,20,381,2,3,2,초,2023
서울특별시중부교육지원청,S010002396,서울충무초등학교,중구,14,194,1,3,2,초,2023
서울특별시중부교육지원청,S010002397,서울한강초등학교,용산구,15,237,2,7,2,초,2023
서울특별시중부교육지원청,S010002398,서울한남초등학교,용산구,16,310,1,6,2,초,2023
서울특별시중부교육지원청,S010002399,서울혜화초등학교,종로구,27,471,2,6,2,초,2023
서울특별시중부교육지원청,S010002400,서울효제초등학교,종로구,13,209,1,6,2,초,2023
서울특별시중부교육지원청,S010002401,서울후암초등학교,용산구,19,270,2,9,2,초,2023
서울특별시중부교육지원청,S010002402,서울흥인초등학교,중구,19,370,1,6,2,초,2023
서울특별시강서양천교육지원청,S010002495,서울신기초등학교,양천구,20,408,1,5,2,초,2023
서울특별시남부교육지원청,S010005177,서울금동초등학교,금천구,32,688,1,2,2,초,2023
서울특별시동작관악교육지원청,S010005179,서울봉현초등학교,관악구,37,746,1,7,2,초,2023
서울특별시성동광진교육지원청,S010005203,서울광진초등학교,광진구,28,569,1,5,2,초,2023
서울특별시서부교육지원청,S010005213,서울연광초등학교,은평구,15,216,2,13,2,초,2023
서울특별시북부교육지원청,S010005215,서울가인초등학교,도봉구,22,407,2,12,2,초,2023
서울특별시동부교육지원청,S010005236,서울묵현초등학교,중랑구,27,487,2,9,2,초,2023
서울특별시성동광진교육지원청,S010005244,서울마장초등학교,성동구,25,462,1,2,2,초,2023
서울특별시서부교육지원청,S010005247,서울서신초등학교,은평구,23,433,2,5,2,초,2023
서울특별시성북강북교육지원청,S010005249,서울석계초등학교,성북구,24,449,1,0,2,초,2023
서울특별시동작관악교육지원청,S010005251,서울보라매초등학교,동작구,55,1333,2,11,2,초,2023
서울특별시강서양천교육지원청,S010005253,서울염경초등학교,강서구,41,887,1,6,2,초,2023
서울특별시동작관악교육지원청,S010005257,서울조원초등학교,관악구,25,445,2,7,2,초,2023
서울특별시강서양천교육지원청,S010005259,서울화일초등학교,강서구,35,644,3,15,2,초,2023
서울특별시성동광진교육지원청,S010005269,서울행현초등학교,성동구,30,583,1,1,2,초,2023
서울특별시성북강북교육지원청,S010005272,서울길원초등학교,성북구,51,1243,2,11,2,초,2023
서울특별시성북강북교육지원청,S010005282,서울장월초등학교,성북구,29,693,1,3,2,초,2023
서울특별시동부교육지원청,S010005283,서울휘봉초등학교,동대문구,35,736,2,13,2,초,2023
서울특별시서부교육지원청,S010005370,서울상지초등학교,마포구,29,595,2,9,2,초,2023
서울특별시중부교육지원청,S010005374,서울신당초등학교,중구,17,342,1,3,2,초,2023
서울특별시강동송파교육지원청,S010005386,서울문현초등학교,송파구,41,842,2,9,2,초,2023
서울특별시강서양천교육지원청,S010005496,서울수명초등학교,강서구,45,951,1,6,2,초,2023
서울특별시서부교육지원청,S010005502,서울은명초등학교,은평구,51,1191,2,15,2,초,2023
서울특별시강동송파교육지원청,S010005503,서울개롱초등학교,송파구,18,349,1,7,2,초,2023
서울특별시서부교육지원청,S010005505,서울진관초등학교,은평구,38,788,2,8,2,초,2023
서울특별시강서양천교육지원청,S010005507,서울목운초등학교,양천구,51,1596,1,8,2,초,2023
서울특별시성동광진교육지원청,S010005513,서울송원초등학교,성동구,15,250,1,2,2,초,2023
서울특별시강동송파교육지원청,S010005527,서울강명초등학교,강동구,33,662,2,10,2,초,2023
서울특별시강서양천교육지원청,S010005546,서울등마초등학교,강서구,36,738,2,13,2,초,2023
